,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Clr,Err,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,32.0,48,25,15,17,16,12,39,30.8,27,964,209,21.7,171,488,305,33,5,0,28,13,17,0,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,33.9,93,60,48,34,11,36,69,52.2,33,517,168,32.5,228,201,88,74,17,0,57,65,135,0,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,0,0,0,0,0,0,1,0.0,1,17,4,23.5,10,7,0,3,3,0,0,3,7,0,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,4.3,10,6,7,2,1,2,7,28.6,5,49,13,26.5,27,10,12,11,2,0,9,5,12,0,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13.1,18,11,14,3,1,6,26,23.1,20,116,40,34.5,91,22,3,27,7,0,20,26,93,1,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,35.0,66,41,39,15,12,22,43,51.2,21,513,142,27.7,220,188,105,55,4,0,51,34,78,3,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,18.0,48,28,18,23,7,16,27,59.3,11,201,52,25.9,90,96,15,38,11,1,27,22,76,0,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,12.2,16,11,6,8,2,4,17,23.5,13,165,45,27.3,17,93,55,11,3,1,8,8,12,0,Matches
36,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,15.0,6,4,1,3,2,2,13,15.4,11,275,63,22.9,20,121,134,17,4,0,13,6,14,0,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MF,Leicester City,21,1997,21.2,22,12,10,9,3,7,26,26.9,19,315,83,26.3,67,146,102,21,4,0,17,5,6,1,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,33.6,76,45,53,19,4,29,69,42.0,40,377,124,32.9,242,104,31,50,15,1,35,68,248,2,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,0,0,0,0,0,0,2,0.0,2,10,1,10.0,0,9,1,1,0,0,1,0,1,1,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,2,1,2,0,0,0,2,0.0,2,72,17,23.6,5,34,33,4,2,0,2,0,1,0,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,33.0,69,38,46,16,7,32,72,44.4,40,315,100,31.7,203,99,13,60,26,0,34,70,324,4,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,12.9,24,17,12,8,4,9,31,29.0,22,183,46,25.1,71,87,25,28,4,0,24,18,34,0,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,2.2,3,0,1,2,0,3,4,75.0,1,24,4,16.7,9,13,2,1,0,0,1,6,7,0,Matches
44,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,4,3,4,0,0,2,7,28.6,5,61,15,24.6,41,19,1,15,7,0,8,9,45,1,Matches
45,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,5.9,21,15,13,8,0,7,18,38.9,11,129,45,34.9,52,67,10,11,2,0,9,15,10,0,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,14.0,9,5,0,6,3,1,8,12.5,7,178,49,27.5,4,70,104,14,6,0,8,4,25,0,Matches
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,4.7,4,3,1,0,3,1,5,20.0,4,66,13,19.7,22,22,22,7,1,0,6,5,6,0,Matches
48,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,8.0,19,12,4,11,4,4,10,40.0,6,188,45,23.9,40,98,50,21,0,0,21,8,10,0,Matches
49,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,6.9,4,3,0,3,1,2,7,28.6,5,102,28,27.5,21,58,23,11,0,0,11,3,7,0,Matches
50,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,13.3,25,14,9,10,6,6,37,16.2,31,259,65,25.1,59,139,61,29,1,0,28,14,7,0,Matches
51,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,7.3,28,16,14,5,9,12,19,63.2,7,124,43,34.7,55,45,24,15,3,0,12,5,24,0,Matches
52,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,28.5,48,28,20,19,9,19,52,36.5,33,371,139,37.5,132,157,82,50,12,0,38,28,72,1,Matches
53,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.8,9,6,6,3,0,2,6,33.3,4,71,17,23.9,29,33,9,4,0,0,4,2,5,0,Matches
54,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,25.9,73,45,28,37,8,17,64,26.6,47,643,153,23.8,202,353,88,79,16,0,63,65,115,1,Matches
55,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,12.1,53,33,32,19,2,18,35,51.4,17,281,85,30.2,109,135,37,20,4,0,16,20,17,0,Matches
56,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,19.0,51,32,36,14,1,20,44,45.5,24,244,90,36.9,166,74,4,42,13,0,29,35,116,1,Matches
57,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,0.7,0,0,0,0,0,0,0,,0,12,7,58.3,6,4,2,2,1,0,1,0,0,0,Matches
58,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,8.5,21,12,10,8,3,3,13,23.1,10,218,71,32.6,54,94,70,17,0,0,17,3,2,0,Matches
59,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,22,1996,7.8,18,12,5,8,5,5,15,33.3,10,146,35,24.0,57,55,34,14,0,0,14,12,4,0,Matches
60,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,4.5,8,4,5,3,0,1,7,14.3,6,116,24,20.7,41,49,26,9,1,0,8,3,8,0,Matches
61,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,17,2002,0.5,1,1,0,1,0,0,2,0.0,2,7,2,28.6,2,5,0,0,0,0,0,0,2,0,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.9,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,Matches
63,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,0.1,0,0,0,0,0,0,0,,0,3,0,0.0,0,2,1,0,0,0,0,0,0,0,Matches
64,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,22,1997,4.2,3,2,0,1,2,0,11,0.0,11,75,17,22.7,21,35,19,4,1,0,3,0,2,0,Matches
65,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,6.0,11,5,5,4,2,1,4,25.0,3,74,23,31.1,28,37,9,8,3,0,5,11,12,0,Matches
66,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,27.0,88,58,62,18,8,26,109,23.9,83,776,207,26.7,301,328,147,69,5,1,64,22,29,1,Matches
67,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,29.0,57,34,31,20,6,21,51,41.2,30,424,151,35.6,224,148,52,62,20,0,42,34,121,0,Matches
68,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,14.4,46,23,28,11,7,24,49,49.0,25,236,74,31.4,126,83,27,50,10,0,40,24,75,0,Matches
69,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,4.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,1,0,Matches
70,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,24.1,18,12,13,5,0,6,15,40.0,9,106,35,33.0,75,23,8,45,24,0,21,18,134,0,Matches
71,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,26.9,15,11,1,9,5,3,17,17.6,14,451,125,27.7,11,181,259,22,5,0,17,6,29,0,Matches
72,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,Matches
73,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,11.4,39,22,21,12,6,18,41,43.9,23,157,54,34.4,62,66,29,10,2,0,8,20,25,1,Matches
74,Todd Cantwell\Todd-Cantwell,eng ENG,FWMF,Norwich City,21,1998,25.8,44,30,20,19,5,17,68,25.0,51,527,139,26.4,158,244,125,53,4,0,49,16,32,0,Matches
75,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,29.2,80,54,43,31,6,35,90,38.9,55,661,173,26.2,287,293,81,53,10,0,43,62,70,0,Matches
76,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,6.6,7,1,3,1,3,2,7,28.6,5,80,25,31.3,13,38,29,7,3,0,4,1,20,0,Matches
77,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,30.4,96,59,59,28,9,34,90,37.8,56,683,200,29.3,309,265,109,74,9,0,65,50,45,2,Matches
78,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,27.6,37,26,21,15,1,10,30,33.3,20,195,68,34.9,112,75,8,35,16,1,19,22,193,2,Matches
79,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,16.6,45,26,21,17,7,17,57,29.8,40,408,110,27.0,179,174,55,23,3,0,20,27,19,1,Matches
80,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,9.9,31,16,9,16,6,7,25,28.0,18,218,61,28.0,74,108,36,13,5,0,8,16,32,0,Matches
81,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,12.2,25,18,14,8,3,9,12,75.0,3,143,51,35.7,77,41,25,21,7,0,14,15,61,0,Matches
82,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,51,26,33,14,4,19,59,32.2,40,414,116,28.0,193,159,62,58,9,0,49,28,88,0,Matches
