Rk,Player,Nation,Pos,Squad,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
355,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,4.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
356,Mohamed Salah\Mohamed-Salah,eg EGY,FWMF,Liverpool,15.1,9,2,2,59,25,2,42.4,3.92,1.66,0.12,0.28,9.1,7.6,0.13,-0.1,-0.6,Matches
357,Carlos Sánchez\Carlos-Sanchez,co COL,MF,West Ham,1.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
358,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,15.0,0,0,0,4,2,0,50.0,0.27,0.13,0.00,0.00,0.6,0.6,0.15,-0.6,-0.6,Matches
359,Ismaila Sarr\Ismaila-Sarr,sn SEN,MF,Watford,8.6,3,0,0,23,6,0,26.1,2.68,0.70,0.13,0.50,2.5,2.5,0.11,+0.5,+0.5,Matches
360,Fabian Schär\Fabian-Schar,ch SUI,DF,Newcastle Utd,13.3,2,0,0,14,4,1,28.6,1.05,0.30,0.14,0.50,1.0,1.0,0.07,+1.0,+1.0,Matches
361,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DFMF,Brighton,1.4,0,0,0,1,0,0,0.0,0.73,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
362,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,DFFW,Crystal Palace,9.5,2,0,0,14,7,0,50.0,1.47,0.73,0.14,0.29,1.5,1.5,0.11,+0.5,+0.5,Matches
363,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,20.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
364,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,8.2,0,0,0,5,0,0,0.0,0.61,0.00,0.00,,0.2,0.2,0.05,-0.2,-0.2,Matches
365,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,1.8,0,0,0,1,0,0,0.0,0.56,0.00,0.00,,0.1,0.1,0.11,-0.1,-0.1,Matches
366,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,MF,Liverpool,1.9,1,0,0,4,1,0,25.0,2.07,0.52,0.25,1.00,0.5,0.5,0.12,+0.5,+0.5,Matches
